zip_code,item_description,store_number,bottles_sold,sale_dollars
50010,Member's Mark Spiced Rum,3524,288,3913.92
50022,Paramount Triple Sec,2591,4,23.04
50111,Saints N Sinners Apple Pie,4136,108,1296.0
50131,Platinum 7x Vodka,2587,48,64.32
50158,Hennessy VS,5166,24,206.64
50158,Kahlua Coffee,5416,3,112.47
50158,Kamora Coffee Liqueur,2544,6,75.54
50263,Jagermeister w/2 Shot Glasses,2665,84,1518.72
50265,Kahlua Coffee,5146,72,1349.28
50266,Avion Silver w/Powell & Mahoney Margarita Mix,2619,90,3372.3
50314,Hennessy Vs Cognac,4829,60,1709.4
50314,Juarez Triple Sec,4829,240,871.2
50314,Paul Masson Peach Grande Amber Brandy,3772,24,70.56
50314,Remy Martin VSOP,3772,24,116.64
50316,Hennessy VS,4057,48,413.28
50317,Paul Masson Peach Grande Amber Brandy,2636,24,70.56
50320,Di Amore Quattro Orange,2633,120,1755.6
50320,Glen Oaks Whiskey Buy the Barrel,2633,66,1881.0
50320,Tortilla Gold Dss,2633,72,487.44
50327,Bacardi Gold Rum PET,4971,102,2295.0
50401,Ole Smoky Blackberry Moonshine Mini,2515,48,630.24
50401,Ole Smoky Salty Caramel Whiskey,2515,18,270.0
50461,Five O'clock Vodka,4559,30,324.0
50501,Titos Vodka,2562,108,1563.84
50588,Phillips Root Beer Schnapps,2576,4,33.0
50662,Ole Smoky Apple Pie Moonshine 70prf Mini,4156,8,105.04
50701,Bacardi Gold,3993,7,47.25
50701,Bacardi Gold Mini,3993,4,33.24
50701,Dekuyper Triple Sec,2643,2,7.0
50702,HA Elijah Craig Cask Barrel Proof,2538,18,807.84
50702,Tortilla Gold Dss,3494,768,5199.36
50703,Bacardi Gold,2571,1,6.75
50703,Hennessy VS,5113,24,206.64
50703,Pinnacle Peach w/ Punch Dispenser,2571,180,1985.4
50703,Seagrams Extra Smooth,5063,24,63.36
50707,Jameson,4153,60,1349.4
50801,Bacardi Gold Rum,4291,5,71.25
51106,Juarez Triple Sec,3447,144,522.72
51106,Kahlua Coffee Liqueur,3447,240,5397.6
51106,Kapali Coffee Liqueur,3447,84,720.72
51246,Arrow Spearmint Schnapps,3705,5,37.5
51247,Dekuyper Triple Sec,5446,6,21.0
51360,Tortilla Gold Dss,2522,48,324.96
51401,Bacardi Gold Mini,2593,12,99.72
51401,Basil Hayden Dark Rye,2593,18,637.74
51401,Paramount Sloe Gin,4158,4,32.52
51501,99 Peppermint Mini,2641,2,17.82
51501,Bacardi Gold Mini,3963,4,33.24
51501,Juarez Triple Sec,4312,48,174.24
51501,Kahlua Coffee,4867,7,68.18
51555,Paramount Gold Rum,4152,2,13.26
52001,Kamora Coffee Liqueur,4167,4,50.36
52003,Bacardi Gold Rum Mini,2465,5,41.55
52136,Five O'clock Vodka,5244,2,75.12
52172,Kahlua Coffee,2178,1,9.74
52240,Juarez Triple Sec,2512,60,217.8
52240,Templeton Rye,2512,18,488.52
52241,Bacardi Gold,3869,1,6.75
52241,Maestro Agavero Gold,2670,48,504.0
52314,Juarez Gold Dss,5102,1560,11620.8
52338,Cedar Ridge Single Malt Single Barrel Select,9001,90,3712.5
52402,Montezuma Triple Sec,3385,216,691.2
52402,Paramount Gold Rum,2843,7,42.0
52411,Everclear Alcohol,2647,36,486.0
52556,Juarez Triple Sec,2601,6,21.78
52601,Five O'clock Vodka,5204,48,81.6
52601,Hennessy VS,4898,24,206.64
52627,Kapali Coffee Liqueur,3549,36,237.24
52732,Paramount Gold Rum,2616,24,282.24
52761,Dekuyper Peachtree,3162,4,45.72
52803,Everclear Alcohol,4962,3,18.9
52804,Martell VSSD,5003,2,17.98
